[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:15,023 | 00.00.05.057(000): WASAPI: Device: 1 - CX156 (AMD High Definition Audio Device). Scan time 343. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:15,023 | 00.00.05.060(003): WASAPI: Scanning Speakers (RODECaster Pro II Chat) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:15,023 | 00.00.05.101(000): WASAPI: Device: Speakers (RODECaster Pro II Chat). Scan time 41. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:15,023 | 00.00.05.105(004): WASAPI: Scanning Wave Link Music (Elgato Wave:3) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:15,424 | 00.00.05.456(000): WASAPI: Device: Wave Link Music (Elgato Wave:3). Scan time 351. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:15,424 | 00.00.05.461(005): WASAPI: Scanning SPDIF Interface (Realtek USB Audio) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:15,424 | 00.00.05.508(000): WASAPI: Device: SPDIF Interface (Realtek USB Audio). Scan time 46. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:15,424 | 00.00.05.514(006): WASAPI: Scanning Headset Earphone (Plantronics Blackwire 3225 Series) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:16,025 | 00.00.05.959(000): WASAPI: Device: Headset Earphone (Plantronics Blackwire 3225 Series). Scan time 444. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:16,025 | 00.00.05.963(004): WASAPI: Scanning Wave Link Game (Elgato Wave:3) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:16,426 | 00.00.06.403(000): WASAPI: Device: Wave Link Game (Elgato Wave:3). Scan time 440. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:16,426 | 00.00.06.409(006): WASAPI: Scanning Speakers (XSplit  Stream  Audio  Renderer) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:16,426 | 00.00.06.481(000): WASAPI: Device: Speakers (XSplit  Stream  Audio  Renderer). Scan time 71. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:16,426 | 00.00.06.486(005): WASAPI: Scanning Headphones (Elgato Wave:3) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:16,827 | 00.00.06.925(000): WASAPI: Device: Headphones (Elgato Wave:3). Scan time 439. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:16,827 | 00.00.06.929(004): WASAPI: Scanning Wave Link Voice Chat (Elgato Wave:3) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:17,229 | 00.00.07.242(000): WASAPI: Device: Wave Link Voice Chat (Elgato Wave:3). Scan time 313. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:17,229 | 00.00.07.246(004): WASAPI: Scanning Headphones (TX-Hifi Type_C Audio) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:17,430 | 00.00.07.517(000): WASAPI: Device: Headphones (TX-Hifi Type_C Audio). Scan time 271. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:17,430 | 00.00.07.520(003): WASAPI: Scanning Wave Link Aux 2 (Elgato Wave:3) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:17,831 | 00.00.07.830(000): WASAPI: Device: Wave Link Aux 2 (Elgato Wave:3). Scan time 309. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:17,831 | 00.00.07.833(003): WASAPI: Scanning 4 - HS156PC (2- AMD High Definition Audio Device) for formats
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:18,032 | 00.00.08.134(000): WASAPI: Device: 4 - HS156PC (2- AMD High Definition Audio Device). Scan time 300. Formats = 1 15 formats scanned
[0x00008510] | Fairlight            | INFO  | 2022-08-03 11:34:18,032 | 00.00.08.136(002): WASAPI: Scanning Speakers (RODECaster Pro II Main Stereo) for formats
